0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4279.0,4426.0,4498.0,4493.0,4417.0,4337.0,4198.0,4284.0,4488.0,4341.0,4270.0,4274.0,4332.0,4122.0,4189.0,4118.0,4122.0,4180.0,3994.0,4412.0
4279.0,4422.0,4431.0,4560.0,4341.0,4265.0,4198.0,4265.0,4203.0,4341.0,4270.0,4265.0,4203.0,4341.0,4265.0,4189.0,4118.0,4113.0,4065.0,4412.0
4132.0,4360.0,4570.0,4494.0,4418.0,4337.0,4204.0,4346.0,4346.0,4351.0,4409.0,4195.0,4208.0,4413.0,4280.0,4409.0,4181.0,3980.0,4195.0,4195.0
4195.0,4208.0,4418.0,4342.0,4271.0,4266.0,4199.0,4275.0,4342.0,4284.0,4489.0,4342.0,4275.0,4360.0,4565.0,4418.0,4323.0,3990.0,4342.0,4266.0
4427.0,4503.0,4565.0,4418.0,4346.0,4342.0,4266.0,4199.0,4280.0,4422.0,4422.0,4413.0,4280.0,4418.0,4337.0,4190.0,4105.0,3900.0,4047.0,4119.0
4340.0,4283.0,4497.0,4497.0,4488.0,4345.0,4350.0,4412.0,4269.0,4274.0,4359.0,4568.0,4502.0,4559.0,4340.0,4255.0,4055.0,4269.0,4269.0,4260.0
4502.0,4568.0,4488.0,4363.0,4630.0,4359.0,4573.0,4554.0,4269.0,4283.0,4488.0,4345.0,4354.0,4483.0,4255.0,4050.0,4202.0,4340.0,4260.0,4122.0
4350.0,4422.0,4422.0,4426.0,4498.0,4498.0,4502.0,4564.0,4431.0,4578.0,4636.0,4417.0,4341.0,4256.0,4056.0,4279.0,4426.0,4488.0,4327.0,4042.0
4355.0,4493.0,4422.0,4412.0,4274.0,4360.0,4569.0,4488.0,4355.0,4493.0,4422.0,4399.0,4033.0,3904.0,4136.0,4422.0,4426.0,4488.0,4346.0,4346.0
4341.0,4288.0,4560.0,4355.0,4488.0,4346.0,4346.0,4346.0,4346.0,4346.0,4318.0,3895.0,3966.0,3994.0,4426.0,4479.0,4198.0,4274.0,4346.0,4341.0
4336.0,4184.0,4055.0,4269.0,4269.0,4269.0,4274.0,4336.0,4175.0,3880.0,3746.0,3885.0,3836.0,4211.0,4502.0,4550.0,4211.0,4492.0,4426.0,4488.0
4256.0,4037.0,3984.0,4288.0,4555.0,4247.0,3885.0,3809.0,3747.0,3881.0,3738.0,3747.0,3913.0,4284.0,4493.0,4422.0,4417.0,4341.0,4284.0,4502.0
3954.0,3749.0,3891.0,3901.0,4039.0,3990.0,4338.0,4172.0,3829.0,4030.0,3820.0,3891.0,3919.0,4352.0,4437.0,4646.0,4566.0,4428.0,4499.0,4499.0
3966.0,3957.0,3805.0,3685.0,4037.0,3966.0,3970.0,4046.0,4095.0,3743.0,3814.0,3814.0,3842.0,4284.0,4498.0,4484.0,4284.0,4502.0,4574.0,4574.0
4112.0,4037.0,3961.0,3894.0,3965.0,3970.0,4037.0,3961.0,3894.0,3970.0,4027.0,3822.0,3970.0,4064.0,4421.0,4412.0,4274.0,4345.0,4345.0,4345.0
3808.0,3732.0,3670.0,3822.0,3960.0,3879.0,3746.0,3888.0,3898.0,4040.0,4050.0,4188.0,4107.0,3987.0,4358.0,4558.0,4340.0,4273.0,4344.0,4358.0
3895.0,3966.0,3952.0,3752.0,3961.0,3895.0,3975.0,4113.0,4065.0,4417.0,4346.0,4341.0,4270.0,4274.0,4346.0,4332.0,4122.0,4194.0,4203.0,4346.0
3889.0,3880.0,3751.0,3961.0,3917.0,4354.0,4511.0,4725.0,4729.0,4792.0,4644.0,4573.0,4582.0,4720.0,4635.0,4430.0,4568.0,4478.0,4193.0,4184.0
3966.0,3966.0,3975.0,4104.0,3922.0,4431.0,4578.0,4650.0,4654.0,4721.0,4645.0,4569.0,4493.0,4426.0,4484.0,4256.0,4046.0,4127.0,4293.0,4640.0
3896.0,3972.0,4057.0,4253.0,4000.0,4513.0,4718.0,4580.0,4656.0,4722.0,4656.0,4727.0,4718.0,4566.0,4409.0,4195.0,4186.0,4043.0,4057.0,4271.0
